campaign_id,campaign_name,summary_date,number_of_impressions,number_of_clicks,number_of_installs,amount_of_spend,CTR,CTI
campaign_4,Super campaign 4,2022-07-26,0,0,2,0.0,,0.0
campaign_4,Super campaign 4,2022-07-30,0,0,2,0.0,,0.0
campaign_5,Super campaign 5,2022-06-22,0,0,2,0.0,,0.0
campaign_5,Super campaign 5,2022-06-24,0,0,16,0.0,,0.0
campaign_5,Super campaign 5,2022-06-25,0,0,6,0.0,,0.0
campaign_5,Super campaign 5,2022-06-26,0,0,14,0.0,,0.0
campaign_5,Super campaign 5,2022-06-27,0,0,36,0.0,,0.0
campaign_5,Super campaign 5,2022-06-28,0,0,62,0.0,,0.0
campaign_5,Super campaign 5,2022-06-29,0,0,104,0.0,,0.0
campaign_5,Super campaign 5,2022-06-30,0,0,132,0.0,,0.0
campaign_5,Super campaign 5,2022-07-01,0,0,62,0.0,,0.0
campaign_5,Super campaign 5,2022-07-02,0,0,110,0.0,,0.0
campaign_5,Super campaign 5,2022-07-03,0,0,110,0.0,,0.0
campaign_5,Super campaign 5,2022-07-04,0,0,158,0.0,,0.0
campaign_5,Super campaign 5,2022-07-05,0,0,74,0.0,,0.0
campaign_5,Super campaign 5,2022-07-06,0,0,70,0.0,,0.0
campaign_5,Super campaign 5,2022-07-07,0,0,30,0.0,,0.0
campaign_5,Super campaign 5,2022-07-08,0,0,46,0.0,,0.0
campaign_5,Super campaign 5,2022-07-09,0,0,14,0.0,,0.0
campaign_5,Super campaign 5,2022-07-10,0,0,24,0.0,,0.0
campaign_5,Super campaign 5,2022-07-11,0,0,2,0.0,,0.0
campaign_6,Super campaign 6,2022-06-01,2004048,6768,18,9.265945,0.0033771646188115257,0.5147747222222222
campaign_6,Super campaign 6,2022-06-02,520026,5268,6,12.18984,0.01013026271763335,2.03164
campaign_6,Super campaign 6,2022-06-03,288948,3670,2,8.28789,0.012701247283248196,4.143945
campaign_6,Super campaign 6,2022-06-04,237950,3406,10,4.3875,0.014313931498213911,0.43875000000000003
campaign_6,Super campaign 6,2022-06-05,1184814,22512,4,13.652925,0.01900045070365475,3.41323125
campaign_6,Super campaign 6,2022-06-06,648582,3196,4,2.9257150000000003,0.004927672985065882,0.7314287500000001
campaign_6,Super campaign 6,2022-06-07,1950622,8070,0,14.141725000000003,0.0041371418962771874,
campaign_6,Super campaign 6,2022-06-08,1443114,15452,0,18.03958,0.010707400801322695,
campaign_6,Super campaign 6,2022-06-09,949012,10656,0,13.162889999999999,0.01122851976581961,
campaign_6,Super campaign 6,2022-06-10,1423416,9960,0,17.55052,0.006997251681869531,
campaign_6,Super campaign 6,2022-06-11,814706,13406,0,13.65,0.01645501567436597,
campaign_6,Super campaign 6,2022-06-12,1770148,52320,0,20.963279999999997,0.029556850613621007,
campaign_6,Super campaign 6,2022-06-13,1142430,4242,0,13.162889999999999,0.003713137785247236,
campaign_6,Super campaign 6,2022-06-14,3036710,9238,0,18.529485,0.003042108070905684,
campaign_6,Super campaign 6,2022-06-15,802968,13556,0,15.60052,0.01688236642057965,
campaign_6,Super campaign 6,2022-06-16,1566034,14800,0,16.09049,0.009450624954502903,
campaign_6,Super campaign 6,2022-06-17,798064,4378,0,12.676755000000002,0.005485775576896088,
campaign_6,Super campaign 6,2022-06-18,1891512,5836,0,11.70351,0.003085362397912358,
campaign_6,Super campaign 6,2022-06-19,1605220,10914,0,10.72864,0.006799068040517811,
campaign_6,Super campaign 6,2022-06-20,1341162,9952,0,14.138215,0.007420430939737333,
campaign_6,Super campaign 6,2022-06-21,1553684,11502,0,16.08828,0.0074030497836110815,
campaign_6,Super campaign 6,2022-06-22,1511434,8756,0,11.701105,0.005793173899753479,
campaign_6,Super campaign 6,2022-06-23,1753612,16220,0,13.162889999999999,0.00924948050081774,
